tag,weight,count,ret,vola,mdv,category
salari,-0.000771172373631493,33209,-0.504763360587003,.,.,
cheri,-0.0045932977831912,2009,-0.0043859435483871,1.13772021186253,3238540568.05724,
acquit,-0.00541009724069586,1659,-0.00309169662921347,1.05490526912417,258726752.232584,
moral,-0.00363689528795812,2713,-0.403387570680628,.,.,
istanbul,-0.0292065596580658,14,-0.01523,1.04140021702981,215270161.11,
share-bas,-0.00416028080071623,2695,-0.00494431125827814,1.34535262049806,119809501.265883,
section,-0.00345839303883721,2772,-0.00387062443438914,1.16904721835887,666998469.363717,
forgent,-0.00399966014783468,1829,-0.00196751533742331,1.11923807388189,306546716.541104,
notehold,-0.00500736880591016,1236,-0.00700214018691589,1.18883665191851,97842940.6598812,
big,-0.0045211145038168,1202,-0.257164030534351,.,.,
friend,-0.00186539837398374,18839,-0.826324,.,.,
theft,-0.00181717574257426,6815,-0.670163118811881,.,.,
milit,-0.00239710162178916,11635,-0.00225455274261603,1.09213576900713,351863433.039192,
westamerica,-0.00326380015449257,1384,-0.00268521072796935,0.989852135694005,27312543.1968839,
macro,-0.0513850859500401,1,-0.033632,0.654508976256247,701168.04,
string,-0.00404090740740741,2231,-0.288725160493827,.,.,
smoke,-0.00249446703040272,4876,-0.00261045183486239,1.03692484328999,840388591.70596,
newslett,-0.00583483906035395,1127,-0.0069175125,1.14252538787919,412640460.896064,
bulb,-0.00501134285714286,1176,-0.3089842,.,.,
ayasli,-0.00328197082506734,1031,-0.00410781451612903,0.696471764937272,7280781.80237903,
non-compli,-0.00491816029684441,3006,-0.00623139830508475,1.3051901143617,2471955279.59107,
ceremoni,-0.00402021556886229,5063,-0.671376000000002,.,.,
allstat,-0.00110169223530368,20603,-0.000948755748373104,0.862689706842515,330173153.120116,
deregul,-0.0043169341904388,1385,-0.00381936419753087,1.0057447956267,806017935.084038,
extern,-0.00260584928229665,6294,-0.589974435406699,.,.,
recurr,-0.00652599546261256,1156,-0.00447805633802817,1.16235566263341,198083861.65829,
list,-0.00824331707317074,199,-0.337976,.,.,
interpret,-0.00431589506172839,1703,-0.337802925925926,.,.,
webmd,-0.00852223827712707,527,-0.00564217948717949,0.373466196596158,147820744.396154,
truli,-0.00747280392156863,358,-0.381113,.,.,
alleg,-0.0010469735585751,29488,-1.44569955526992,.,.,
prime-1,-0.00475620556413734,2680,-0.00546360465116279,1.01380847811721,558512792.21035,
biolab,-0.00951409364710938,425,-0.0208746176470588,0.967973459164588,1336918.33441176,
beauti,-0.00212791782945736,6609,-0.596084302325581,.,.,
